név,ár,raktárkészlet,kategória
Alma,255,12,Gyümölcs
Banán,350,10,Gyümölcs
Narancs,480,8,Gyümölcs
Körte,600,6,Gyümölcs
Paradicsom,520,7,Zöldség
Uborka,380,9,Zöldség
Paprika,410,11,Zöldség
Hagyma,270,15,Zöldség
Kenyér,480,5,Pékáru
Zsemle,150,25,Pékáru
Kifli,180,20,Pékáru
Tej,330,10,Tejtermék
Sajt,650,8,Tejtermék
Joghurt,210,12,Tejtermék
Tojás,100,15,Tojás
Liszt,250,18,Alapanyag
Cukor,200,22,Alapanyag
Só,90,30,Alapanyag
Olaj,500,14,Alapanyag
Vaj,400,9,Tejtermék
Kakaó,450,11,Ital
Üdítő,350,13,Ital
Víz,150,30,Ital
Kávé,1200,7,Ital
Tea,500,10,Ital
Csoki,400,8,Édesség
Keksz,250,20,Édesség
Rágó,150,25,Édesség
Müzli,350,12,Édesség
Chips,180,22,Rágcsálnivaló
Ropi,130,15,Rágcsálnivaló
Sör,800,5,Alkohol
Bor,1500,6,Alkohol
Whisky,3500,3,Alkohol
Vodka,2500,4,Alkohol
Tészta,450,18,Alapanyag
Rizs,550,14,Alapanyag
Konzervbab,200,20,Konzerv
Hal konzerv,550,8,Konzerv
Kukoricakonzerv,300,10,Konzerv
Puding,350,15,Tejtermék
Felvágott,500,9,Húsáru
Kolbász,750,7,Húsáru
Szalámi,950,5,Húsáru
Csirkecomb,700,6,Húsáru
Marhahús,1200,4,Húsáru
Hal,800,8,Húsáru
Fagylalt,500,15,Fagyasztott
Pizza,1500,10,Fagyasztott
Zöldborsó,350,20,Fagyasztott
Banán,350,10,Gyümölcs
Narancs,480,8,Gyümölcs
Körte,600,6,Gyümölcs
Paradicsom,520,7,Zöldség
Uborka,380,9,Zöldség
Paprika,410,11,Zöldség
Hagyma,270,15,Zöldség
Kenyér,480,5,Pékáru
Zsemle,150,25,Pékáru
Kifli,180,20,Pékáru
Tej,330,10,Tejtermék
Sajt,650,8,Tejtermék
Joghurt,210,12,Tejtermék
Tojás,100,15,Tojás
Liszt,250,18,Alapanyag
Cukor,200,22,Alapanyag
Só,90,30,Alapanyag
Olaj,500,14,Alapanyag
Vaj,400,9,Tejtermék
Kakaó,450,11,Ital
Üdítő,350,13,Ital
Víz,150,30,Ital
Kávé,1200,7,Ital
Tea,500,10,Ital
Csoki,400,8,Édesség
Keksz,250,20,Édesség
Rágó,150,25,Édesség
Müzli,350,12,Édesség
Chips,180,22,Rágcsálnivaló
Ropi,130,15,Rágcsálnivaló
Sör,800,5,Alkohol
Bor,1500,6,Alkohol
Whisky,3500,3,Alkohol
Vodka,2500,4,Alkohol
Tészta,450,18,Alapanyag
Rizs,550,14,Alapanyag
Konzervbab,200,20,Konzerv
Hal konzerv,550,8,Konzerv
Kukoricakonzerv,300,10,Konzerv
Puding,350,15,Tejtermék
Felvágott,500,9,Húsáru
Kolbász,750,7,Húsáru
Szalámi,950,5,Húsáru
Csirkecomb,700,6,Húsáru
Marhahús,1200,4,Húsáru
Hal,800,8,Húsáru
Fagylalt,500,15,Fagyasztott
Pizza,1500,10,Fagyasztott
Zöldborsó,350,20,Fagyasztott
